"cli -c ""show log messages|no-more """
"Nov 11 19:16:26.593  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP10: SNMP trap generated: Fru Offline (jnxFruContentsIndex 7, jnxFruL1Index 5, jnxFruL2Index 0, jnxFruL3Index 0, jnxFruName FPC: MPC4E 3D 2CGE+8XGE @ 4/*/*, jnxFruType 3, jnxFruSlot 4, jnxFruOfflineReason 3, jnxFruLastPowerOff 0, jnxFruLastPowerOn 63441138)"
"Nov 11 19:16:26.593  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP3: ENTITY trap generated: entStateOperDisabled (entPhysicalIndex 26, entStateAdmin 2, entStateAlarm 6)"
"Nov 11 19:16:26.593  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP7: SNMP trap generated: Fru Failed (jnxFruContentsIndex 7, jnxFruL1Index 5, jnxFruL2Index 0, jnxFruL3Index 0, jnxFruName FPC: MPC4E 3D 2CGE+8XGE @ 4/*/*, jnxFruType 3, jnxFruSlot 4)"
"Nov 11 19:16:27.276  timex-re0 : %PFE-3: fpc3 L2ALM: failed to connect to Master"
"Nov 11 19:16:27.518  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP10: SNMP trap generated: FRU power on (jnxFruContentsIndex 7, jnxFruL1Index 9, jnxFruL2Index 0, jnxFruL3Index 0, jnxFruName FPC: MPCE Type 3 3D @ 8/*/*, jnxFruType 3, jnxFruSlot 8, jnxFruOfflineReason 2, jnxFruLastPowerOff 0, jnxFruLastPowerOn 63442442)"
"Nov 11 19:16:28.719  timex-re0 : %PFE-5: fpc3 Ukern event counter Rt_add init delayed"
"Nov 11 19:16:28.792  timex-re0 : %PFE-5: fpc3 Ukern event counter Rt_chg init delayed"
"Nov 11 19:16:28.863  timex-re0 : %PFE-5: fpc3 Ukern event counter Rt_del init delayed"
"Nov 11 19:16:29.231  timex-re0 : %PFE-5: fpc3 Ukern event counter NH_add init delayed"
"Nov 11 19:16:29.302  timex-re0 : %PFE-5: fpc3 Ukern event counter NH_chg init delayed"
"Nov 11 19:16:29.377  timex-re0 : %PFE-5: fpc3 Ukern event counter NH_del init delayed"
"Nov 11 19:16:29.770  timex-re0 : %PFE-5: fpc3 pfe_pme_max 25"
"Nov 11 19:16:31.003  timex-re0 : %PFE-5: fpc3 CLKSYNC: master RE connection made"
"Nov 11 19:16:31.877  timex-re0 : %PFE-5: fpc3 L2ALM master RE connection made"
"Nov 11 19:16:38.178  timex-re0 chassisd[21683]: %DAEMON-3-CHASSISD_POWER_CHECK: FPC 8 not powering up"
"Nov 11 19:16:38.178  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP3: ENTITY trap generated: entStateOperDisabled (entPhysicalIndex 30, entStateAdmin 2, entStateAlarm 6)"
"Nov 11 19:16:38.178  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP0: ENTITY trap generated: entConfigChanged"
"Nov 11 19:16:38.418  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP10: SNMP trap generated: Fru Offline (jnxFruContentsIndex 7, jnxFruL1Index 9, jnxFruL2Index 0, jnxFruL3Index 0, jnxFruName FPC: MPCE Type 3 3D @ 8/*/*, jnxFruType 3, jnxFruSlot 8, jnxFruOfflineReason 3, jnxFruLastPowerOff 0, jnxFruLastPowerOn 63442442)"
"Nov 11 19:16:38.418  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP3: ENTITY trap generated: entStateOperDisabled (entPhysicalIndex 30, entStateAdmin 2, entStateAlarm 6)"
"Nov 11 19:16:38.418  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP7: SNMP trap generated: Fru Failed (jnxFruContentsIndex 7, jnxFruL1Index 9, jnxFruL2Index 0, jnxFruL3Index 0, jnxFruName FPC: MPCE Type 3 3D @ 8/*/*, jnxFruType 3, jnxFruSlot 8)"
"Nov 11 19:16:40.659  timex-re0 rpd[22151]: %DAEMON-4: bgp_listen_accept: Connection attempt from unconfigured neighbor: 192.168.0.21+56462"
"Nov 11 19:16:40.660  timex-re0 rpd[22151]: %DAEMON-4: bgp_listen_accept:5634: NOTIFICATION sent to 192.168.0.21+56462 (proto): code 6 (Cease) subcode 5 (Connection Rejected), Reason: Connection attempt from unconfigured neighbor: 192.168.0.21+56462"
"Nov 11 19:16:41.707  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP10: SNMP trap generated: FRU power on (jnxFruContentsIndex 7, jnxFruL1Index 5, jnxFruL2Index 0, jnxFruL3Index 0, jnxFruName FPC: MPC4E 3D 2CGE+8XGE @ 4/*/*, jnxFruType 3, jnxFruSlot 4, jnxFruOfflineReason 2, jnxFruLastPowerOff 0, jnxFruLastPowerOn 63443861)"
"Nov 11 19:16:52.888  timex-re0 chassisd[21683]: %DAEMON-3-CHASSISD_POWER_CHECK: FPC 4 not powering up"
"Nov 11 19:16:52.888  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP3: ENTITY trap generated: entStateOperDisabled (entPhysicalIndex 26, entStateAdmin 2, entStateAlarm 6)"
"Nov 11 19:16:52.888  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP0: ENTITY trap generated: entConfigChanged"
"Nov 11 19:16:53.127  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP10: SNMP trap generated: Fru Offline (jnxFruContentsIndex 7, jnxFruL1Index 5, jnxFruL2Index 0, jnxFruL3Index 0, jnxFruName FPC: MPC4E 3D 2CGE+8XGE @ 4/*/*, jnxFruType 3, jnxFruSlot 4, jnxFruOfflineReason 3, jnxFruLastPowerOff 0, jnxFruLastPowerOn 63443861)"
"Nov 11 19:16:53.127  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP3: ENTITY trap generated: entStateOperDisabled (entPhysicalIndex 26, entStateAdmin 2, entStateAlarm 6)"
"Nov 11 19:16:53.127  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP7: SNMP trap generated: Fru Failed (jnxFruContentsIndex 7, jnxFruL1Index 5, jnxFruL2Index 0, jnxFruL3Index 0, jnxFruName FPC: MPC4E 3D 2CGE+8XGE @ 4/*/*, jnxFruType 3, jnxFruSlot 4)"
"Nov 11 19:16:54.053  timex-re0 chassisd[21683]: %DAEMON-5-CHASSISD_SNMP_TRAP10: SNMP trap generated: FRU power on (jnxFruContentsIndex 7, jnxFruL1Index 9, jnxFruL2Index 0, jnxFruL3Index 0, jnxFruName FPC: MPCE Type 3 3D @ 8/*/*, jnxFruType 3, jnxFruSlot 8, jnxFruOfflineReason 2, jnxFruLastPowerOff 0, jnxFruLastPowerOn 63445095)"
"Nov 11 19:16:57.773  timex-re0 : %PFE-3: fpc3 RamBIST:LUCHIP[2] RLDRAM 2 BIST: Memory Error"
"Nov 11 19:16:57.777  timex-re0 : %PFE-3: fpc3 RamBIST:LUCHIP[2] RLDRAM 2 BIST: Test Name:Unique Address (Top-Down)"
"Nov 11 19:16:57.784  timex-re0 : %PFE-3: fpc3 RamBIST:LUCHIP[2] RLDRAM 2 BIST: Error Count: 1"
"Nov 11 19:16:57.788  timex-re0 : %PFE-3: fpc3 RamBIST:LUCHIP[2] RLDRAM 2 BIST: Error Address: Raw: 0x0000000001c202b8 Cell: 0x000000000007080a, Burst: 0, Bank: 7"
"Nov 11 19:16:57.935  timex-re0 : %PFE-3: fpc3 RamBIST:LUCHIP[2] RLDRAM 2 BIST: Actual Data:   0x00000000000000efebfbdaf000440011"
